,Date,Date_local,wind speed at 100m (m/s),surface air pressure (Pa),relative humidity at 2m (%),air temperature at 2m (C),wind_power,h,cos_h,sin_h,week,cos_w,sin_w,month,cos_m,sin_m,workday,gas_price,carbon_tax_rate,demand
0,2016-01-01 00:30:00+00:00,2015-12-31 19:30:00-05:00,11.44,98470,93.16,-2.97,1987.916616,19,0.258819045,-0.965925826,53,1,-2.45E-16,12,1,-2.45E-16,0,2.547184176,0,5884.088004
1,2016-01-01 01:30:00+00:00,2015-12-31 20:30:00-05:00,11.67,98460,91.04,-3.28,2112.490456,20,0.5,-0.866025404,53,1,-2.45E-16,12,1,-2.45E-16,0,2.547184176,0,6435.317625
2,2016-01-01 02:30:00+00:00,2015-12-31 21:30:00-05:00,11.29,98430,93.93,-2.43,1909.324094,21,0.707106781,-0.707106781,53,1,-2.45E-16,12,1,-2.45E-16,0,2.547184176,0,7117.835452
3,2016-01-01 03:30:00+00:00,2015-12-31 22:30:00-05:00,12.54,98370,88.52,-2.56,2300,22,0.866025404,-0.5,53,1,-2.45E-16,12,1,-2.45E-16,0,2.547184176,0,6329.949472
4,2016-01-01 04:30:00+00:00,2015-12-31 23:30:00-05:00,13.14,98350,93.74,-2.66,2300,23,0.965925826,-0.258819045,53,1,-2.45E-16,12,1,-2.45E-16,0,2.547184176,0,6752.56731
5,2016-01-01 05:30:00+00:00,2016-01-01 00:30:00-05:00,12.75,98300,91.69,-3.09,2300,0,1,0,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6507.784351
6,2016-01-01 06:30:00+00:00,2016-01-01 01:30:00-05:00,13.54,98250,91.51,-3.8,2300,1,0.965925826,0.258819045,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6363.9009
7,2016-01-01 07:30:00+00:00,2016-01-01 02:30:00-05:00,14.67,98210,89.75,-4.37,2300,2,0.866025404,0.5,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6687.102012
8,2016-01-01 08:30:00+00:00,2016-01-01 03:30:00-05:00,14.3,98220,89.22,-4.77,2300,3,0.707106781,0.707106781,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6490.683763
9,2016-01-01 09:30:00+00:00,2016-01-01 04:30:00-05:00,13.97,98190,89.66,-4.81,2300,4,0.5,0.866025404,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6715.573673
10,2016-01-01 10:30:00+00:00,2016-01-01 05:30:00-05:00,14.06,98060,89.42,-5.19,2300,5,0.258819045,0.965925826,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6892.673042
11,2016-01-01 11:30:00+00:00,2016-01-01 06:30:00-05:00,14.19,98080,89.08,-5.1,2300,6,6.12E-17,1,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6157.99892
12,2016-01-01 12:30:00+00:00,2016-01-01 07:30:00-05:00,15.86,98050,89.39,-5.23,2300,7,-0.258819045,0.965925826,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6450.559894
13,2016-01-01 13:30:00+00:00,2016-01-01 08:30:00-05:00,16.44,97980,87.87,-5.76,2300,8,-0.5,0.866025404,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6578.060026
14,2016-01-01 14:30:00+00:00,2016-01-01 09:30:00-05:00,10.99,97990,92,-5.07,1758.29429,9,-0.707106781,0.707106781,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,7053.415749
15,2016-01-01 15:30:00+00:00,2016-01-01 10:30:00-05:00,13.03,98000,87.77,-4.29,2300,10,-0.866025404,0.5,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6949.814533
16,2016-01-01 16:30:00+00:00,2016-01-01 11:30:00-05:00,10.62,98030,90.57,-4.2,1583.052178,11,-0.965925826,0.258819045,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6687.153232
17,2016-01-01 17:30:00+00:00,2016-01-01 12:30:00-05:00,10.03,97990,91.81,-3.98,1327.843717,12,-1,1.22E-16,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6234.663819
18,2016-01-01 18:30:00+00:00,2016-01-01 13:30:00-05:00,9.41,97950,93.93,-4.1,1090.15081,13,-0.965925826,-0.258819045,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6618.618485
19,2016-01-01 19:30:00+00:00,2016-01-01 14:30:00-05:00,8.83,97960,93.87,-4.06,894.3976426,14,-0.866025404,-0.5,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,7524.177721
20,2016-01-01 20:30:00+00:00,2016-01-01 15:30:00-05:00,9.15,97980,93.79,-4.17,999.3180556,15,-0.707106781,-0.707106781,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,7031.325
21,2016-01-01 21:30:00+00:00,2016-01-01 16:30:00-05:00,8.7,98030,94.09,-3.98,853.884127,16,-0.5,-0.866025404,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6312.209259
22,2016-01-01 22:30:00+00:00,2016-01-01 17:30:00-05:00,11.85,98090,87.67,-5.19,2213.471627,17,-0.258819045,-0.965925826,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6741.625276
23,2016-01-01 23:30:00+00:00,2016-01-01 18:30:00-05:00,11.27,98120,88.25,-5.22,1899.0014,18,-1.84E-16,-1,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,7188.584985
24,2016-01-02 00:30:00+00:00,2016-01-01 19:30:00-05:00,10.18,98150,88.98,-4.84,1389.975905,19,0.258819045,-0.965925826,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6506.918263
25,2016-01-02 01:30:00+00:00,2016-01-01 20:30:00-05:00,11.31,98180,83.58,-4.56,1919.683427,20,0.5,-0.866025404,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6377.839675
26,2016-01-02 02:30:00+00:00,2016-01-01 21:30:00-05:00,9.88,98190,87.39,-5.61,1267.542402,21,0.707106781,-0.707106781,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6666.82601
27,2016-01-02 03:30:00+00:00,2016-01-01 22:30:00-05:00,12.36,98180,86.26,-4.87,2300,22,0.866025404,-0.5,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6763.851305
28,2016-01-02 04:30:00+00:00,2016-01-01 23:30:00-05:00,11.53,98160,87.92,-4.99,2036.072738,23,0.965925826,-0.258819045,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6220.295472
29,2016-01-02 05:30:00+00:00,2016-01-02 00:30:00-05:00,11.11,98120,91.09,-4.39,1817.731012,0,1,0,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6664.207527
30,2016-01-02 06:30:00+00:00,2016-01-02 01:30:00-05:00,10.06,98050,90.76,-4.64,1340.122808,1,0.965925826,0.258819045,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6807.779998
31,2016-01-02 07:30:00+00:00,2016-01-02 02:30:00-05:00,10.93,97990,91.22,-3.77,1729.058272,2,0.866025404,0.5,53,1,-2.45E-16,1,0.866025404,0.5,0,2.547184176,0,6536.729529
