train/n_updates,train/loss,rollout/ep_len_mean,rollout/exploration_rate,time/total_timesteps,train/learning_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
140695,7.847967208363116e-05,35424.0,0.7973450819672132,141696,8.98487715590847e-05,489,289,-15697632.747975748,4,,
283543,0.00015885243192315102,35568.0,0.7946685792349726,284544,8.969631254269126e-05,490,580,-17102455.615865376,8,,
424087,0.00016004801727831364,35424.0,0.7920352459016394,425088,8.954631254269127e-05,490,867,-15991648.150633583,12,,
565783,0.00011223513865843415,35424.0,0.7893803278688524,566784,8.939508303449454e-05,490,1155,-14385991.993478999,16,,
705175,0.00023566506570205092,35308.8,0.7867685792349728,706176,8.924631254269126e-05,490,1439,-13787356.501723448,20,,
846871,0.0008356673642992973,35328.0,0.7841136612021858,847872,8.909508303449454e-05,490,1727,-14456228.18784525,24,,
989719,0.0002595183323137462,35382.857142857145,0.7814371584699454,990720,8.89426240181011e-05,490,2019,-13548026.821554357,28,,
1130263,0.00020495685748755932,35352.0,0.778803825136612,1131264,8.87926240181011e-05,490,2305,-14139386.68811528,32,,
1271959,0.0002682533231563866,35360.0,0.7761489071038252,1272960,8.864139450990438e-05,490,2594,-13575951.571421305,36,,
1411351,0.0010879531037062407,35308.8,0.7735371584699454,1412352,8.84926240181011e-05,490,2879,-14293049.865680426,40,,
1553047,0.0001358170120511204,35319.27272727273,0.7708822404371586,1554048,8.834139450990437e-05,490,3170,-14409977.050344475,44,,
1695895,0.00044426461681723595,35352.0,0.7682057377049182,1696896,8.818893549351093e-05,489,3463,-14717802.169167189,48,,
1836439,0.0008776512695476413,35335.38461538462,0.7655724043715848,1837440,8.803893549351094e-05,489,3750,-14361789.422446769,52,,
1978135,0.00038224842865020037,35341.71428571428,0.762917486338798,1979136,8.788770598531422e-05,489,4040,-14354317.267693928,56,,
2117527,0.0006688119610771537,35308.8,0.7603057377049182,2118528,8.773893549351094e-05,489,4325,-14279497.574808884,60,,
2259223,0.00026237143902108073,35316.0,0.7576508196721311,2260224,8.758770598531421e-05,489,4614,-14150728.055238735,64,,
2402071,0.0008259585592895746,35339.294117647056,0.7549743169398907,2403072,8.743524696892077e-05,489,4906,-14334814.547449706,68,,
2542615,0.0004887392278760672,35328.0,0.7523409836065573,2543616,8.728524696892077e-05,489,5194,-14308017.844872322,72,,
2684311,0.0009455236722715199,35333.05263157895,0.7496860655737705,2685312,8.713401746072405e-05,489,5484,-14475628.573856978,76,,
2823703,0.0001678362605161965,35308.8,0.7470743169398907,2824704,8.698524696892077e-05,489,5772,-14172140.807397436,80,,
2965399,0.00013961414515506476,35314.28571428572,0.744419398907104,2966400,8.683401746072406e-05,489,6062,-14292855.797108153,84,,
3108247,0.00011190435907337815,35332.36363636364,0.7417428961748636,3109248,8.66815584443306e-05,489,6356,-14002185.449148785,88,,
3248791,0.0001771065581124276,35323.82608695652,0.7391095628415301,3249792,8.653155844433062e-05,489,6645,-13787230.645982021,92,,
3390487,0.001333178486675024,35328.0,0.7364546448087432,3391488,8.638032893613389e-05,488,6936,-13734443.991053188,96,,
3529879,0.0002084026054944843,35308.8,0.7338428961748635,3530880,8.623155844433061e-05,488,7222,-13655217.736650933,100,,
3671575,0.0002645804197527468,35308.8,0.7311879781420765,3672576,8.608032893613388e-05,488,7512,-13627248.236814294,104,,
3814423,0.0012176575837656856,35308.8,0.7285114754098361,3815424,8.592786991974044e-05,488,7806,-13566455.74426173,108,,
3954967,0.0010475690942257643,35308.8,0.7258781420765027,3955968,8.577786991974044e-05,488,8104,-13832814.17628429,112,,
4096663,0.0022992780432105064,35308.8,0.7232232240437159,4097664,8.562664041154372e-05,487,8399,-14039743.274408033,116,,
4236055,0.0009300395613536239,35308.8,0.720611475409836,4237056,8.547786991974044e-05,487,8692,-14162928.396204283,120,,
4377751,0.0005450472235679626,35308.8,0.7179565573770492,4378752,8.532664041154373e-05,487,8984,-14005771.654589517,124,,
4520599,0.0008046799339354038,35308.8,0.7152800546448088,4521600,8.517418139515028e-05,487,9278,-14109923.664266711,128,,
4661143,0.0010291589424014091,35308.8,0.7126467213114754,4662144,8.502418139515027e-05,487,9568,-13912078.74861748,132,,
4802839,3.9563859900226817e-05,35308.8,0.7099918032786886,4803840,8.487295188695355e-05,487,9861,-14097011.934832953,136,,
4942231,0.0001989126903936267,35308.8,0.7073800546448088,4943232,8.472418139515027e-05,487,10149,-13947960.800630111,140,,
5083927,0.0008704488864168525,35308.8,0.7047251366120219,5084928,8.457295188695355e-05,486,10443,-13847685.77357746,144,,
5226775,0.0016699039842933416,35308.8,0.7020486338797814,5227776,8.442049287056011e-05,486,10738,-13943488.02573601,148,,
