#{"t_start": 1769525024.005136, "env_id": "None"}
r,l,t
-6163826.784142,34560,238.495933
-22267176.955171,35712,310.636558
-18838175.479981,35712,383.056337
-15521351.772609,35712,455.224291
-28473775.978888,35712,527.721917
-29250113.068512,35712,600.571573
-3484403.417527,35712,673.313235
-12820821.470093,35712,745.778032
-6883679.416062,34560,816.000165
-27879175.504085,35712,888.822962
-7343449.992037,35712,961.597906
-12973827.968496,34560,1032.590011
-10845579.131227,34560,1103.641582
-7844472.926804,35712,1176.303018
-12224373.475625,35712,1248.979335
-7361668.554405,35712,1321.393045
-14623296.889361,34560,1391.533797
-11925585.209874,34560,1461.727923
-12917897.535114,34560,1531.807072
-6104478.504456,35712,1605.25139
-20858335.551614,34560,1675.316131
-34014697.628765,35712,1748.311207
-7159865.134806,35712,1820.821168
-9169448.158632,35712,1893.485773
-9213526.868199,35712,1966.237998
-9570844.310807,35712,2039.529989
-5506265.379829,35712,2112.252388
-8104637.936401,35712,2184.894256
-16563846.89816,34560,2255.187345
-19145902.24087,35712,2327.806742
-25093346.785119,35712,2400.521557
-12312527.092018,34560,2470.772644
-6952452.032679,34560,2541.314249
-15363660.746834,35712,2614.172655
-8010693.55746,35712,2686.882428
-5947076.214505,35712,2759.889361
-30909671.404275,34560,2830.778064
-15950200.134268,34560,2901.980296
-8095838.676232,34560,2972.465241
-28032027.841275,35712,3045.40086
-15937495.468354,34560,3116.1673
-16035966.379293,35712,3189.271284
-11026412.27095,35712,3262.595144
-19317121.469343,35712,3335.985251
-18632773.53878,35712,3409.255015
-21911894.559081,35712,3482.597721
-7763119.429217,35712,3555.922595
-24107726.37779,35712,3628.876409
-5815979.006917,34560,3699.458016
-9179420.226453,35712,3772.350043
-19098824.235478,35712,3845.252989
-6264322.378359,34560,3916.274647
-8663146.857791,34560,3986.80173
-13555264.969596,35712,4059.857604
-15923587.10852,35712,4133.161471
-18886718.087721,35712,4205.917394
-6611426.186386,34560,4276.487348
-17327376.033013,34560,4346.890731
-25926532.241363,34560,4417.908555
-3062753.036911,35712,4490.581493
-9456323.921273,34560,4561.169957
-16991479.529018,35712,4634.283842
-7155706.737951,35712,4707.326856
-15273230.858504,35712,4780.212683
-20011943.835986,35712,4853.041522
-22061867.472607,35712,4925.90565
-11103754.861306,35712,4998.761029
-15943227.521402,35712,5072.07197
-6029654.212074,34560,5142.671824
-17852216.016961,35712,5215.875363
-8970790.900164,35712,5289.14409
-22557234.475028,34560,5359.904137
-6561459.045138,34560,5430.76774
-15689617.380543,35712,5503.829034
-10966156.425559,35712,5577.139338
-36753253.931083,35712,5650.056399
-7597934.559453,34560,5720.661058
-8923753.384604,34560,5793.496113
-9535451.024687,34560,5864.922547
-7566354.009921,35712,5937.811343
-6719294.519147,34560,6008.507366
-31672321.136167,35712,6081.75196
-14571684.920358,35712,6154.759732
-13865321.789618,35712,6228.071288
-6480145.366721,35712,6301.396298
-8491461.756879,35712,6374.932323
-7035168.241601,35712,6448.614448
-9585657.202807,35712,6522.493119
-6124737.173024,34560,6594.2241
-12880836.701392,35712,6667.746347
-6688165.545948,35712,6740.536721
-10539160.484889,34560,6811.220781
-9602555.184914,34560,6882.09182
-10355982.840289,35712,6955.142804
-11875828.428043,35712,7028.327051
-18247037.257514,35712,7101.731082
-6107252.829797,34560,7172.523199
