train/n_updates,time/total_timesteps,time/time_elapsed,train/learning_rate,time/fps,train/loss,rollout/exploration_rate,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,eval/mean_ep_length,eval/mean_reward
34120,35136,67,0.00019990004553734064,517,0.00021119991070008836,0.9991000000000001,-54694929.0641395,8784.0,4,,
69260,70272,127,0.0001998000341530055,550,9.20017348107649e-05,0.9982,-63564476.158875875,8784.0,8,,
104400,105408,187,0.00019970002276867033,562,0.00010670473493519239,0.9973000000000001,-59903348.59760133,8784.0,12,,
139540,140544,247,0.00019960001138433518,568,0.00011561188621271868,0.9964,-54508778.260266244,8784.0,16,,
174660,175680,307,0.00019950005692167579,571,0.00011280270791758085,0.9955,-52546720.1257052,8784.0,20,,
209800,210816,367,0.00019940004553734063,574,9.735169442137703e-05,0.9946,-56166351.23294433,8784.0,24,,
244940,245952,427,0.00019930003415300548,575,8.827579786157003e-05,0.9937000000000001,-52063500.89677924,8784.0,28,,
280080,281088,487,0.00019920002276867032,576,9.854381860350259e-05,0.9928,-55232708.09251897,8784.0,32,,
315220,316224,547,0.00019910001138433517,577,0.00010203883502981625,0.9919000000000001,-52481215.189228274,8784.0,36,,
350340,351360,607,0.00019900005692167577,578,7.738264212093781e-05,0.991,-57582786.29983513,8784.0,40,,
385480,386496,667,0.00019890004553734062,578,7.58242815209087e-05,0.9901000000000001,-56667501.52157212,8784.0,44,,
420620,421632,727,0.00019880003415300546,579,8.441038899036357e-05,0.9892,-58026751.68366306,8784.0,48,,
438180,439200,,0.0001987500569216758,,6.409862635337049e-05,0.9887500256147541,,,,8784.0,-6351383.8230425
455760,456768,830,0.00019870002276867034,549,9.222341523127398e-05,0.9883000000000001,-55911418.45409252,8784.0,52,,
490900,491904,891,0.00019860001138433518,552,9.021083533298225e-05,0.9873999999999999,-56102168.68297585,8784.0,56,,
526020,527040,951,0.0001985000569216758,553,7.181524470070144e-05,0.9865,-56340544.33419445,8784.0,60,,
561160,562176,1011,0.00019840004553734063,555,7.243796462717001e-05,0.9856,-55249005.08789867,8784.0,64,,
596300,597312,1072,0.00019830003415300545,557,7.324197995330905e-05,0.9847000000000001,-56108222.38543282,8784.0,68,,
631440,632448,1132,0.00019820002276867032,558,7.485786009056027e-05,0.9838,-55802138.946945414,8784.0,72,,
666580,667584,1193,0.00019810001138433517,559,6.891921711940085e-05,0.9829000000000001,-56943631.59360977,8784.0,76,,
701700,702720,1253,0.00019800005692167578,560,7.416660446324386e-05,0.982,-55186987.972225025,8784.0,80,,
736840,737856,1313,0.00019790004553734062,561,5.385245694924379e-05,0.9811000000000001,-56185531.35253863,8784.0,84,,
771980,772992,1374,0.00019780003415300547,562,5.5261015222640705e-05,0.9802,-54923403.2824996,8784.0,88,,
807120,808128,1435,0.0001977000227686703,563,6.172333905851701e-05,0.9793000000000001,-53669084.49468932,8784.0,92,,
842260,843264,1495,0.00019760001138433516,563,6.237184788915329e-05,0.9783999999999999,-53656169.40888836,8784.0,96,,
877380,878400,,0.0001975000569216758,,6.0139056768093727e-05,0.977500025614754,,,,8784.0,-6192671.0903814
,878400,1598,,549,,0.9775,-53556237.80693774,8784.0,100,,
912520,913536,1658,0.00019740004553734064,550,6.832720782767865e-05,0.9766,-53826794.440026045,8784.0,104,,
947660,948672,1719,0.00019730003415300545,551,7.33748333004769e-05,0.9757000000000001,-53335114.79559153,8784.0,108,,
982800,983808,1779,0.0001972000227686703,552,5.598338266281644e-05,0.9748,-54743470.43907047,8784.0,112,,
1017940,1018944,1839,0.00019710001138433517,553,6.955036515137181e-05,0.9739000000000001,-55904326.961203784,8784.0,116,,
1053060,1054080,1900,0.00019700005692167578,554,5.2708975454152095e-05,0.973,-56169470.96993774,8784.0,120,,
1088200,1089216,1960,0.00019690004553734062,555,5.005768516639364e-05,0.9721000000000001,-55424371.38158412,8784.0,124,,
1123340,1124352,2020,0.00019680003415300547,556,6.126226144260727e-05,0.9712,-55810859.20523772,8784.0,128,,
1158480,1159488,2081,0.00019670002276867031,557,5.070334182164515e-05,0.9703,-54638681.2844382,8784.0,132,,
1193620,1194624,2141,0.00019660001138433516,557,6.292615198617568e-05,0.9693999999999999,-55644646.95678691,8784.0,136,,
1228740,1229760,2202,0.0001965000569216758,558,4.6001167811482445e-05,0.9685,-54191205.50310506,8784.0,140,,
1263880,1264896,2262,0.00019640004553734064,559,4.8107236762007235e-05,0.9676,-53839605.15731982,8784.0,144,,
1299020,1300032,2323,0.00019630003415300546,559,4.315651631259243e-05,0.9667000000000001,-55436486.82259682,8784.0,148,,
1316580,1317600,,0.00019625005692167576,,5.069350445410237e-05,0.966250025614754,,,,8784.0,-6262449.8626938
1334160,1335168,2426,0.0001962000227686703,550,4.439871390786721e-05,0.9658,-56811467.380800046,8784.0,152,,
1369300,1370304,2486,0.00019610001138433515,551,5.1379057094891325e-05,0.9649000000000001,-56064576.24224687,8784.0,156,,
1404420,1405440,2547,0.00019600005692167578,551,5.057073085481534e-05,0.964,-56324622.92583045,8784.0,160,,
1439560,1440576,2607,0.00019590004553734063,552,4.9070905333792325e-05,0.9631000000000001,-56649785.2991208,8784.0,164,,
1474700,1475712,2668,0.00019580003415300547,553,4.7080934200494086e-05,0.9621999999999999,-55273714.018003464,8784.0,168,,
1509840,1510848,2728,0.00019570002276867032,553,4.635818258975632e-05,0.9613,-55858043.690101236,8784.0,172,,
1544980,1545984,2789,0.00019560001138433516,554,7.513232576457085e-05,0.9603999999999999,-54303345.608631074,8784.0,176,,
1580100,1581120,2850,0.0001955000569216758,554,5.717229487345321e-05,0.9595,-54545180.86567221,8784.0,180,,
1615240,1616256,2910,0.00019540004553734064,555,4.384104113341891e-05,0.9586,-54492506.08352712,8784.0,184,,
1650380,1651392,2971,0.0001953000341530055,555,4.657538374885917e-05,0.9577000000000001,-56719964.18177286,8784.0,188,,
1685520,1686528,3032,0.0001952000227686703,556,3.464338387857424e-05,0.9568,-58730925.25030539,8784.0,192,,
1720660,1721664,3092,0.00019510001138433515,556,4.2879528882622255e-05,0.9559000000000001,-57663068.265766755,8784.0,196,,
1755780,1756800,,0.00019500005692167578,,4.341133017078391e-05,0.9550000256147541,,,,8784.0,-6069478.2687609
,1756800,3196,,549,,0.955,-56902437.59236422,8784.0,200,,
1790920,1791936,3256,0.00019490004553734063,550,3.6372702561493496e-05,0.9541000000000001,-58161355.159004614,8784.0,204,,
1826060,1827072,3317,0.00019480003415300547,550,3.998848978881142e-05,0.9531999999999999,-57825923.239696674,8784.0,208,,
1861200,1862208,3378,0.00019470002276867032,551,5.01266103128728e-05,0.9523,-56950276.90456007,8784.0,212,,
1896340,1897344,3439,0.00019460001138433517,551,4.0601558157504766e-05,0.9513999999999999,-55684178.53018945,8784.0,216,,
1931460,1932480,3500,0.0001945000569216758,552,3.346585563122062e-05,0.9505,-55043171.43685618,8784.0,220,,
1966600,1967616,3561,0.00019440004553734064,552,3.544588425938855e-05,0.9496,-56502096.9577581,8784.0,224,,
2001740,2002752,3622,0.0001943000341530055,552,3.6381458357936935e-05,0.9487000000000001,-57687034.33460346,8784.0,228,,
2036880,2037888,3684,0.0001942000227686703,553,2.980661411129404e-05,0.9478,-57650555.92292428,8784.0,232,,
