#{"t_start": 1767930881.8028767, "env_id": "None"}
r,l,t
-7826834.472279,8784,53.401169
-91833545.571144,8784,68.28141
-71861798.27537,8784,83.173653
-47257537.937765,8784,98.032678
-117539035.525206,8784,112.957935
-130969815.856604,8784,127.932197
-10524109.412014,8784,142.850242
-30703132.220625,8784,157.785713
-17536715.823104,8784,172.702834
-123995340.123249,8784,187.641949
-18575715.231002,8784,202.591599
-50216602.722854,8784,217.54993
-45570521.566141,8784,232.51091
-14501069.720752,8784,247.45826
-55689817.148845,8784,262.414337
-37538860.557306,8784,277.384335
-74280750.942582,8784,292.35838
-34592017.027406,8784,307.370804
-38170330.008734,8784,322.361207
-31750852.371122,8784,337.358415
-83516456.515419,8784,352.396828
-156061868.575647,8784,367.395579
-38024235.158264,8784,382.352611
-19455466.82723,8784,397.313952
-23623508.83298,8784,412.276708
-24387723.461732,8784,427.290685
-49468154.325206,8784,442.280635
-12306208.899237,8784,457.281315
-82843805.938425,8784,472.264159
-61384350.10077,8784,487.262778
-101341118.612548,8784,502.314625
-64099359.199045,8784,517.324247
-14079781.765211,8784,532.363008
-68835984.048333,8784,547.377141
-28066322.966553,8784,562.379832
-10894999.071514,8784,577.444281
-184021731.636145,8784,592.505249
-71467978.595456,8784,607.517324
-17452410.083346,8784,622.543612
-141045584.86624,8784,637.609566
-44098031.520758,8784,652.710626
-63736866.182161,8784,667.718604
-21809555.306597,8784,682.775858
-60414161.946252,8784,697.803333
-69076766.326244,8784,712.852906
-92055768.518883,8784,727.925757
-48864539.467851,8784,742.979244
-81916939.553676,8784,758.028575
-13924119.722606,8784,773.075541
-14009024.772346,8784,788.216092
-84434596.228678,8784,845.827447
-9741938.073354,8784,860.877993
-22085286.465612,8784,875.963834
-46356089.699768,8784,891.04045
-71294687.204357,8784,906.114743
-94591623.2641,8784,921.20833
-15260655.384566,8784,936.245642
-73596236.409329,8784,951.291466
-128590057.022041,8784,966.376673
-21264264.989084,8784,981.456545
-22921411.748747,8784,996.566617
-51035708.42714,8784,1011.650841
-25673657.843541,8784,1026.739763
-55872887.554419,8784,1041.817994
-78165715.489741,8784,1056.873302
-83595016.471316,8784,1071.994182
-73944722.364922,8784,1087.084777
-43717342.257938,8784,1102.236422
-15107907.697419,8784,1117.307836
-51422287.666491,8784,1132.444153
-26918039.819543,8784,1147.571065
-108946646.787185,8784,1162.67895
-15761245.062693,8784,1177.800651
